Colonia,Alcaldía,lat,lon,hospital_dist(km),pharmacy_dist(km),clinic_dist(km),dentist_dist(km),doctors_dist(km),convenience_dist(km),supermarket_dist(km),butcher_dist(km),marketplace_dist(km),greengrocer_dist(km),mall_dist(km),school_dist(km),university_dist(km),kindergarten_dist(km),bank_dist(km),atm_dist(km),target
ZENON DELGADO,ALVARO OBREGON,19.389578629,-99.216275539,1.268749432436029,0.3935469257253215,0.9037581792852714,1.2560604342997854,2.718254172813213,0.4819154452518762,0.7333825592599048,3.6294306098285114,1.487516025783446,2.966555823464572,3.872741518081414,0.952646669711156,5.196593026766712,3.6035362332903302,1.3772097592764232,2.0910708348216174,32988.0
ZACAHUITZCO,IZTAPALAPA,19.374028401,-99.135868321,0.4461499912984981,0.5883867558023285,1.1723206123602556,1.6848980077851925,1.63925792756941,0.7311240218429764,0.4364181713019889,1.71305924490284,1.1242568100205066,1.687174771429918,2.847821925214865,0.4826066662804977,1.7722101153287548,1.4389516457877671,0.4984892175702045,1.05060773764712,40967.555555556
XOTEPINGO,COYOACAN,19.32791621,-99.140440239,1.3935800406013217,0.0799661983453663,1.7392487674546182,1.1485073283899931,1.8325789174564395,0.2122146415678128,0.8255795436073166,2.020445640166084,1.0323656192090658,1.4557984161075863,2.7152674391490064,0.6358691494854489,1.6613738668418043,1.2289694469384096,0.8698522246415847,1.2518901546104035,39393.166666667
XOCO,BENITO JUAREZ,19.361135775,-99.167824637,0.5752299245518908,0.4348297434352657,1.627146225116184,1.575604060094753,1.2479896351491282,0.4272032326594925,0.2344366401973493,1.8970170207149195,1.1314505516402016,1.884396655300396,2.335977938308554,0.2207101294510481,1.0113764235456029,1.573025169544945,0.5998658148719711,0.331766646528993,47916.315789474
VISTA ALEGRE,CUAUHTEMOC,19.410147722,-99.133091379,1.3404512735937035,0.939059135359093,1.3750498736145356,1.9968512635863147,0.9424489960996228,0.2162832813960784,0.7292356419975249,1.6675862594726465,1.0866986445248166,1.9584438466338896,2.3486287238129098,0.6415457229684732,1.910952355773528,1.676559647740355,0.3973309196193966,1.6057499899090963,22941.0
VILLA VERDUN,ALVARO OBREGON,19.337333529,-99.255081718,2.062825343321731,1.3339968040734278,3.704754835908606,1.7665076504410826,4.420732330308981,1.6575784548287191,0.8905273647883731,3.421228138434811,3.633845754988327,1.888806091552273,1.284858328023741,0.3926740414776525,2.5412862905775566,3.093793568528937,1.2817139935030382,3.514036804395168,34580.875
VILLA PANAMERICANA 2DA. SECCIN (U HAB),COYOACAN,19.306178096,-99.176061111,0.9586582895202664,0.2732455512384779,0.4233532523271844,0.2359460800882517,0.1953096439320362,0.7096694968216872,0.2108373264423405,0.2510334435539633,0.7857304921263902,1.4351785131705144,3.91853983471247,1.9785302664469768,1.0700739563216612,1.8337694248977805,0.9591840516344456,1.0812334167461604,45832.35
VILLA PANAMERICANA 1ERA. SECCIN (U HAB),COYOACAN,19.305237516,-99.177313512,0.8331479127391189,0.2008454350382096,0.4608556428789427,0.4028258516902357,0.3611568298988106,0.7058559554910482,0.1423608760771375,0.4186931446844407,0.9521166688373396,1.5801854917342018,3.833714876853608,2.135928799827433,0.9935983581540128,1.7101308845788892,1.0961117575591417,1.1690995633433368,47050.0
VILLA OLIMPICA LIBERADOR MIGUEL HIDALGO (U HAB),TLALPAN,19.297644734,-99.187555789,0.9754748535873896,0.7726325872623022,1.2489527382153052,1.2089656885125062,1.7262320284881667,0.7615410946779838,0.7692403392992524,1.2241732791610729,2.3141139197707776,1.1891756646791602,3.297882842919845,2.832698749976802,1.3359615052923468,1.2156087190161289,0.2673987258042575,1.143862536241823,29137.5
VILLA GUSTAVO A MADERO,GUSTAVO A. MADERO,19.483737869,-99.112864337,0.1443066717239327,0.6057569738903877,0.2907748860864007,0.7899192847208286,1.5484700348968543,0.283672010392959,0.4371453133806035,1.9161224350095865,0.1079346375429899,1.9189315673263327,4.863068487016909,0.2188562228812332,5.666955882702568,0.8080258249557489,0.5842623437349742,1.1273766447218314,30032.666666667
VILLA DEL PUENTE FOVISSSTE  (U HAB),TLALPAN,19.295995306,-99.106278753,2.530611187866913,0.4358511391497889,2.8729574634621926,1.889498754705056,2.499972276410598,0.4315528371675413,1.9551563839822288,2.4553940396658205,1.291604911093916,2.6860501146228724,7.552883740745583,0.3803046275972229,4.083296084379205,1.594540398859358,1.949666858015084,3.6991698683542538,32143.0
VILLA DE CORTES,BENITO JUAREZ,19.387526139,-99.136296921,1.183164752359171,0.0477641265654733,0.3446403832782895,0.2769972669600352,0.8744578350133863,0.0351319150787678,0.5303971269618691,1.5422343764581752,0.734736051785192,1.8009813904645933,3.324164760296344,0.5715117627097765,0.7269866462756404,1.6729384539330787,0.9375545045231464,0.535587395598728,24144.0
VILLA DE ARAGON (FRACC),GUSTAVO A. MADERO,19.468086769,-99.060242262,3.955219837350113,1.1667241602551692,5.889778297426411,1.8000720557889438,1.7988418312530834,0.7803868431531303,0.5668222886598852,4.759786042985853,1.3639015001102996,4.767279464345918,0.4318227455391826,0.3582894943064284,7.536931546469422,2.5829033553673173,0.469580240265017,1.4753636471320883,32508.5
VILLA COYOACAN,COYOACAN,19.347275689,-99.163186648,0.004950433175922,0.2944554472327305,0.5815539525818731,0.5791695219109599,0.1639115755458655,0.1307616281751178,0.3990768874810119,0.302972121051011,1.243471272245908,0.3079754569330131,1.632187071853352,0.3525984439856601,2.102086531466803,2.059051760438309,0.2969821899732222,0.8841886549484288,41952.291666667
VILLA COAPA (RDCIAL),TLALPAN,19.290098213,-99.118846638,1.2998939644433654,0.2958811860230471,1.679450669516542,0.6050682000486249,1.2138241586817136,0.2867903675936011,0.6293842046182736,1.2519051451076817,2.5897525559180044,3.9015397145903625,7.460954552878031,0.3891337861537577,3.4307017456909428,0.3366069718222545,0.7301104756627218,2.4882625385696047,24376.5
VILLA CENTROAMERICANA (U HAB),TLAHUAC,19.28388741,-99.054713307,4.275636073157934,1.9691246995792948,5.89050061441931,2.2122251012808736,7.961576235238562,2.2263463769285567,1.1084404040098468,2.9052277202925465,4.3452397428632805,2.7993725575150545,8.003542271828879,2.543579602005664,7.930118265524576,3.8456388910510793,2.1567889920058074,7.764015584464124,11833.0
VIEJO EJIDO SANTA URSULA COAPA,COYOACAN,19.304301386,-99.141777177,1.3616657687426437,0.7366292194284164,1.2010528879289266,0.8284167626419051,0.7408243974893345,0.5883187308663507,0.6767703663636295,1.691506198780465,2.095699984880492,2.226469581254109,5.259555030005211,0.5298107930755076,0.9705408414794318,1.6623837186792116,0.3967782197710116,1.393956815687461,36633.375
VIADUCTO PIEDAD,IZTACALCO,19.401198011,-99.130375509,1.2531141905131005,1.2601434455654326,1.550325640203797,1.5820259461307231,0.6102173159375928,0.5086812742064312,1.1293742784019334,1.652182468338259,2.015296088582164,2.1588123605236924,2.8615791775914468,0.7170254580355292,1.1882914557366706,1.6201920252964357,0.6426613112745408,1.581391851148668,39092.888888889
VIADUCTO  - BALBUENA )CONJ HAB),VENUSTIANO CARRANZA,19.407300627,-99.109081233,1.053194247197194,0.591229657367075,1.2247934139586156,1.5003651522740566,2.1281774279711008,0.629944345081189,0.4775497492439504,1.5833972078848857,2.530920109266407,2.751666879951405,4.058381831999727,1.179091955799794,2.2393249801917783,3.813301545953877,1.001937403652384,1.257652514463132,25667.5
VERONICA ANZURES,MIGUEL HIDALGO,19.435762803,-99.174633236,0.7478687603623435,0.0400064605986604,1.6616046156448228,2.2981226503432586,1.810127762662991,0.1677546580149572,0.597086005246202,2.3713450773369966,1.974777680681916,1.431246410752347,1.3144876945262522,0.827352225388724,1.692672978676947,1.4826238053120535,0.1005736240415779,1.3387348470760954,42186.785714286
VERGEL DE COYOACAN-VERGEL DEL SUR,TLALPAN,19.302851386,-99.137333192,1.0265204008454742,0.3416068135643169,0.7968418730195359,0.5437093436442837,0.5902916223925175,0.5868476971753315,0.8968514771413258,1.2594626707825547,2.1049125905619124,2.7194415253186004,5.496983671908189,0.1992795198894986,1.1826608598948338,1.693347895313258,0.3952619740241731,1.55734318353516,41144.0
VENTURA PEREZ DE ALBA,MIGUEL HIDALGO,19.453051873,-99.195576745,0.7987583938175252,0.7372055489707082,0.3548862511874424,2.033290933679873,1.7296949403321775,0.2887222811359566,0.6443048715695019,2.482491738272364,0.963556088267265,2.0564042594320107,2.0716728399569893,0.3247732876091619,4.292314921622848,2.76813762309183,0.1529314904910555,1.5156297328452892,13606.0
VASCO DE QUIROGA,GUSTAVO A. MADERO,19.495441361,-99.093922913,1.9873562812077423,1.7565922926857909,1.4973529155097245,2.586610149944101,1.386803894279323,1.3124118127717253,1.0752187590233582,3.311023644561464,1.6992875402596164,3.3312456581754253,5.01842819640672,0.3487390895414025,3.850336961036912,2.6232572971828785,1.8832200933146928,3.4799814353230984,20412.5
VALLEJO PONIENTE,GUSTAVO A. MADERO,19.467864606,-99.141462553,0.8876986500805792,0.2498821205872095,1.00209946743417,0.9884156200828818,0.8248702799530807,0.3478705798839517,0.7649245649708717,3.4716814303788217,0.4565125554774825,1.7745254287676968,3.1326873528639063,0.672263560291601,3.904303815911896,0.8219245481595009,0.4767018320962227,1.6421088745312389,33304.5
VALLEJO II,GUSTAVO A. MADERO,19.465373154,-99.129044727,1.420589552057887,0.391285971126864,0.569258690966444,0.6085329505521826,0.9527697403259778,0.3883622067648458,0.3139297234517466,2.317165302186845,0.9729411393468124,0.7367169903798542,2.541162294954012,0.5964765647619077,4.444005267130501,0.5907593259995052,0.4045388271821166,0.4455688576264943,20324.0
VALLE GOMEZ,VENUSTIANO CARRANZA,19.457491834,-99.120095016,0.954774447197248,0.7474904782109844,0.8009584719939247,1.5562736022402697,1.1300070996569134,0.2713917119720931,0.6772371778254259,1.049939933939183,0.2563969700071722,1.5439387917522367,1.8778161422248425,0.2984260226090713,4.647633661918378,1.0980339096002354,0.809075772321183,0.8833514136499351,19763.7
VALLE ESCONDIDO,TLALPAN,19.277971118,-99.145276071,1.241287496610835,0.7788355197398769,2.1932622518640383,2.3644613255144957,2.009398349406166,0.2616294094755368,0.3719510704531649,2.373670957973165,4.485041986606843,1.1522703703909971,8.149777658199747,2.0254567523626683,2.1357642445094305,2.4101274115524123,0.4844944030784704,2.157468018305514,30927.0
VALLE DEL TEPEYAC,GUSTAVO A. MADERO,19.487225609,-99.140115985,0.7368073779909371,0.6235696185427533,0.6508287364378778,1.9451182595594327,1.3884536296314494,0.6603517014214446,0.8389449331779147,2.5147335872162446,0.9363950482209676,2.444630889747628,5.119746057110851,0.6440365139665092,5.945292786016559,1.4447069591637711,0.6486325918546766,0.7522829857515391,16211.0
VALLE DEL SUR,IZTAPALAPA,19.347949491,-99.114711243,1.204915145353617,0.3870662712864994,1.4498146579201054,1.2171961465974577,1.5208507979007495,0.3341074677526091,1.434773088780569,1.455511430811085,1.5926531493998246,1.078634653851949,3.532024750245496,1.0603979577050582,2.634775648762482,1.366421068832379,1.2035557534047232,3.040938112732894,32977.5
VALLE DE TEPEPAN,TLALPAN,19.272133817,-99.145437772,0.7754975253850074,1.201949282428409,2.697852111646725,2.61158600894806,2.3428213241490536,0.5499215375379738,0.2773693675420942,2.897557438366188,4.1870594076875305,0.9850563543952856,8.537290685855854,2.2734830831662425,2.367497876208908,2.756050850081432,1.0745228837755725,1.9644495555880668,31004.166666667
VALENTIN GOMEZ FARIAS,BENITO JUAREZ,19.387341826,-99.164973092,0.3431223521942912,0.2077124410438894,0.3129910712185367,1.3399918031903613,1.7382010879318648,0.2365592728894173,0.3327525288564414,1.7588770462718089,0.8353642211706406,0.5705935772304089,2.84979484145611,0.2883619756781886,1.610503623113429,1.3409505955939038,0.285724538519865,0.6709712683544763,22073.0
UNIDADES HABITACIONALES DE SANTA ANA PONIENTE II,TLAHUAC,19.303706697,-99.043790888,4.133321985803308,0.2947144107782636,4.103941618276799,2.125410044154681,7.2559471436771235,0.5817787336267208,2.052205937615637,3.253709669545071,5.330896274236101,3.446100847685297,5.51985942047524,0.092131049892072,6.424058994021212,5.577323361304122,0.4261115896370473,9.544255705675685,12595.5
UNIDADES HABITACIONALES DE SANTA ANA PONIENTE I,TLAHUAC,19.306785097,-99.048240846,3.606437862811955,0.4347614438910018,3.593561348110712,1.739151958513077,6.756488937295036,0.1149303421960045,1.9588905323930128,2.721511595190313,4.93952691839547,3.05586132822294,5.47457385002648,0.6441319152801362,5.884016072945896,4.999823815383073,0.9314698437345118,9.2684639555819,9564.75
UN HOGAR PARA NOSOTROS,MIGUEL HIDALGO,19.448486963,-99.169174922,0.3182454840046218,0.6249177920927255,1.3980719552909011,1.1643502501589622,1.3290477306268182,0.384214482220905,1.03870910668198,3.488332341787721,1.0798033468136137,1.5618819405932405,2.5321412349664545,0.2832658654784768,1.7263878185884247,0.7236418988312381,1.064569916377371,1.3341496810317115,34547.0
UN HOGAR PARA CADA TRABAJADOR,AZCAPOTZALCO,19.473895423,-99.176158388,1.1085137225627946,0.7258240909142022,2.726677623734252,1.193190250587668,2.023307167191299,0.3356021971748716,0.2089549621372826,0.8091517944948721,1.3971318472465322,1.07979605334277,4.69078774255744,0.3381712376399405,4.535516025444636,0.942278273258201,0.5739269388020567,0.6465455857619685,22000.0
TRES ESTRELLAS,GUSTAVO A. MADERO,19.4724773,-99.110715241,1.373768481710234,0.5495474971687593,1.5608013977929818,0.5289907494451959,1.600875648857301,0.1660225450488797,0.4162807208330825,0.7288919456825738,1.3214067729504773,0.7527864278104566,3.811410499672962,0.6033808416231282,6.402264962234355,1.836346915386002,0.3734195666361675,0.670017897371923,12462.0
TRABAJADORES DEL HIERRO,AZCAPOTZALCO,19.47857504,-99.151216256,1.7060018975835456,0.3405868079708504,0.4786814852395959,2.544781273040785,2.3893258876008576,0.3351307611953764,0.3657479719295168,2.493503859170944,0.3952924790126043,2.9065292115118155,4.667951560504981,0.0507783961487442,4.724087426977085,0.784984285963932,1.1110600189421025,2.2544760289689,23773.5
