Colonia,Alcaldía,lat,lon,hospital_near,hospital_dist(km),pharmacy_near,pharmacy_dist(km),clinic_near,clinic_dist(km),dentist_near,dentist_dist(km),doctors_near,doctors_dist(km),convenience_near,convenience_dist(km),supermarket_near,supermarket_dist(km),butcher_near,butcher_dist(km),marketplace_near,marketplace_dist(km),greengrocer_near,greengrocer_dist(km),mall_near,mall_dist(km),school_near,school_dist(km),university_near,university_dist(km),kindergarten_near,kindergarten_dist(km),bank_near,bank_dist(km),atm_near,atm_dist(km),target
ZENON DELGADO,ALVARO OBREGON,19.389578629,-99.216275539,111,1.2687494324360287,425,0.3935469257253215,10,0.9037581792852714,44,1.2560604342997854,63,2.7182541728132126,645,0.48191544525187624,391,0.7333825592599048,66,3.6294306098285105,37,1.487516025783446,21,2.9665558234645717,25,3.872741518081414,316,0.952646669711156,1,5.196593026766712,12,3.6035362332903307,444,1.3772097592764232,1,2.0910708348216174,32988.0
ZACAHUITZCO,IZTAPALAPA,19.374028401,-99.135868321,139,0.4461499912984981,413,0.5883867558023285,54,1.1723206123602556,6,1.6848980077851925,41,1.63925792756941,420,0.7311240218429764,152,0.43641817130198896,25,1.71305924490284,69,1.1242568100205066,29,1.6871747714299181,21,2.847821925214865,454,0.48260666628049775,10,1.7722101153287548,27,1.4389516457877671,277,0.49848921757020453,81,1.05060773764712,40967.555555556
XOTEPINGO,COYOACAN,19.32791621,-99.140440239,161,1.3935800406013217,89,0.0799661983453663,87,1.7392487674546182,23,1.1485073283899931,54,1.8325789174564393,426,0.21221464156781283,28,0.8255795436073166,24,2.020445640166084,10,1.0323656192090658,20,1.4557984161075863,21,2.7152674391490064,215,0.6358691494854489,11,1.6613738668418043,11,1.2289694469384096,178,0.8698522246415847,23,1.2518901546104035,39393.166666667
XOCO,BENITO JUAREZ,19.361135775,-99.167824637,29,0.5752299245518908,127,0.43482974343526576,32,1.6271462251161841,67,1.575604060094753,49,1.2479896351491282,17,0.42720323265949256,333,0.23443664019734936,20,1.8970170207149193,24,1.1314505516402016,31,1.8843966553003957,21,2.335977938308554,212,0.2207101294510481,1,1.0113764235456029,67,1.5730251695449453,190,0.5998658148719711,49,0.331766646528993,47916.315789474
VISTA ALEGRE,CUAUHTEMOC,19.410147722,-99.133091379,113,1.3404512735937035,98,0.939059135359093,64,1.3750498736145356,41,1.9968512635863147,62,0.9424489960996228,113,0.2162832813960784,262,0.7292356419975249,8,1.6675862594726463,57,1.0866986445248166,26,1.9584438466338896,1,2.3486287238129098,377,0.6415457229684732,67,1.9109523557735282,20,1.676559647740355,284,0.3973309196193966,25,1.6057499899090963,22941.0
VILLA VERDUN,ALVARO OBREGON,19.337333529,-99.255081718,72,2.062825343321731,432,1.3339968040734278,73,3.704754835908606,62,1.7665076504410826,82,4.420732330308981,1034,1.6575784548287191,212,0.8905273647883731,6,3.421228138434811,72,3.633845754988327,37,1.888806091552273,13,1.2848583280237407,437,0.39267404147765256,77,2.5412862905775566,19,3.0937935685289375,666,1.2817139935030382,54,3.514036804395168,34580.875
VILLA PANAMERICANA 2DA. SECCIN (U HAB),COYOACAN,19.306178096,-99.176061111,6,0.9586582895202663,108,0.27324555123847794,20,0.4233532523271844,10,0.23594608008825177,14,0.1953096439320362,243,0.7096694968216872,163,0.21083732644234052,12,0.2510334435539633,71,0.7857304921263902,35,1.4351785131705144,6,3.91853983471247,144,1.9785302664469768,56,1.0700739563216612,59,1.8337694248977803,197,0.9591840516344456,33,1.0812334167461604,45832.35
VILLA PANAMERICANA 1ERA. SECCIN (U HAB),COYOACAN,19.305237516,-99.177313512,6,0.8331479127391189,74,0.20084543503820962,20,0.46085564287894276,10,0.40282585169023577,14,0.3611568298988106,474,0.7058559554910482,178,0.1423608760771375,12,0.41869314468444074,71,0.9521166688373397,35,1.5801854917342018,6,3.8337148768536076,144,2.1359287998274326,56,0.9935983581540127,59,1.7101308845788892,197,1.0961117575591417,108,1.1690995633433368,47050.0
VILLA OLIMPICA LIBERADOR MIGUEL HIDALGO (U HAB),TLALPAN,19.297644734,-99.187555789,6,0.9754748535873895,106,0.7726325872623022,23,1.2489527382153052,43,1.2089656885125062,14,1.7262320284881667,226,0.7615410946779838,18,0.7692403392992524,3,1.2241732791610727,71,2.3141139197707776,4,1.1891756646791602,5,3.2978828429198455,433,2.832698749976802,56,1.3359615052923468,59,1.2156087190161287,323,0.26739872580425755,108,1.143862536241823,29137.5
VILLA GUSTAVO A MADERO,GUSTAVO A. MADERO,19.483737869,-99.112864337,102,0.14430667172393274,178,0.6057569738903877,29,0.29077488608640073,96,0.7899192847208286,76,1.5484700348968545,1301,0.283672010392959,369,0.43714531338060353,56,1.9161224350095862,29,0.10793463754298993,1,1.9189315673263327,12,4.863068487016909,174,0.21885622288123324,74,5.666955882702568,72,0.8080258249557489,723,0.5842623437349742,10,1.1273766447218314,30032.666666667
VILLA DEL PUENTE FOVISSSTE  (U HAB),TLALPAN,19.295995306,-99.106278753,90,2.530611187866913,520,0.43585113914978896,16,2.8729574634621926,37,1.8894987547050561,5,2.499972276410598,584,0.4315528371675413,208,1.9551563839822288,60,2.4553940396658205,74,1.291604911093916,44,2.6860501146228724,21,7.5528837407455836,329,0.3803046275972229,11,4.083296084379205,6,1.594540398859358,370,1.9496668580150838,37,3.6991698683542538,32143.0
VILLA DE CORTES,BENITO JUAREZ,19.387526139,-99.136296921,139,1.183164752359171,390,0.04776412656547338,54,0.3446403832782895,6,0.27699726696003524,70,0.8744578350133863,714,0.035131915078767804,252,0.5303971269618691,46,1.5422343764581752,69,0.734736051785192,11,1.8009813904645933,1,3.3241647602963433,456,0.5715117627097765,67,0.7269866462756404,24,1.6729384539330787,542,0.9375545045231463,81,0.535587395598728,24144.0
VILLA DE ARAGON (FRACC),GUSTAVO A. MADERO,19.468086769,-99.060242262,4,3.9552198373501133,428,1.1667241602551692,29,5.889778297426411,0,1.8000720557889438,0,1.7988418312530834,902,0.7803868431531303,344,0.5668222886598852,55,4.759786042985853,17,1.3639015001102996,43,4.767279464345918,20,0.43182274553918265,19,0.3582894943064284,74,7.536931546469422,68,2.5829033553673173,577,0.469580240265017,101,1.4753636471320883,32508.5
VILLA COYOACAN,COYOACAN,19.347275689,-99.163186648,19,0.004950433175922067,321,0.2944554472327305,32,0.5815539525818731,30,0.5791695219109599,32,0.1639115755458655,33,0.13076162817511788,113,0.3990768874810119,20,0.30297212105101107,49,1.243471272245908,23,0.3079754569330131,21,1.632187071853352,196,0.35259844398566015,1,2.102086531466803,36,2.059051760438309,425,0.29698218997322223,53,0.8841886549484288,41952.291666667
VILLA COAPA (RDCIAL),TLALPAN,19.290098213,-99.118846638,90,1.2998939644433654,29,0.29588118602304714,16,1.679450669516542,19,0.6050682000486249,5,1.2138241586817136,115,0.2867903675936011,208,0.6293842046182736,14,1.2519051451076817,30,2.5897525559180044,18,3.9015397145903625,21,7.460954552878031,52,0.3891337861537577,11,3.4307017456909428,6,0.3366069718222545,161,0.7301104756627218,37,2.4882625385696047,24376.5
